# Time-averaged data for fix dta
# TimeStep v_myrho v_mylx v_myly v_mylz v_myp
382000 1.3014 40.8634 42.9387 47.1019 -3368.33
383000 1.30052 40.8468 42.9537 47.1364 -2114.82
384000 1.29913 40.8452 42.9687 47.1724 -3548.65
385000 1.29749 40.8479 42.9837 47.2121 -4020.9
386000 1.29585 40.8522 42.9987 47.2504 -2965.25
387000 1.29425 40.8581 43.0137 47.2858 -3501.98
388000 1.29279 40.8617 43.0287 47.3183 -3547.91
389000 1.29236 40.8472 43.0437 47.3345 -3250.07
390000 1.29183 40.8317 43.0587 47.355 -3520.85
391000 1.29157 40.8217 43.0737 47.3599 -5069.43
392000 1.29169 40.8175 43.0887 47.3441 -5833.88
393000 1.29201 40.8204 43.1037 47.3125 -5808.32
394000 1.29257 40.8262 43.1187 47.2687 -4423.38
395000 1.29347 40.8306 43.1337 47.2141 -2828.52
396000 1.29423 40.8364 43.1487 47.1634 -3693.16
397000 1.29514 40.8341 43.1637 47.1167 -3363.49
398000 1.29579 40.8345 43.1787 47.076 -4102.68
399000 1.29633 40.8366 43.1937 47.0378 -4426.59
400000 1.29648 40.8363 43.2087 47.0161 -4584.51
401000 1.29624 40.8372 43.2237 47.0078 -1136.54
402000 1.29554 40.841 43.2387 47.0122 -4153.22
403000 1.29493 40.8449 43.2537 47.0135 -4924.38
404000 1.29433 40.8524 43.2687 47.0105 -3939.44
405000 1.29411 40.8568 43.2837 46.9973 -5846.47
406000 1.29414 40.8632 43.2987 46.9724 -4622.41
407000 1.29443 40.8656 43.3137 46.943 -2780.78
408000 1.29506 40.8596 43.3287 46.9107 -4151.61
409000 1.29636 40.8474 43.3437 46.8616 -3869.73
410000 1.29761 40.831 43.3587 46.8188 -5043.98
411000 1.29867 40.8139 43.3737 46.7842 -4025.14
412000 1.29921 40.8059 43.3887 46.7575 -3499.98
413000 1.2993 40.8021 43.4037 46.7428 -2468.29
414000 1.29908 40.804 43.4187 46.7323 -4355.05
415000 1.29904 40.8001 43.4337 46.7219 -4518.96
416000 1.29875 40.7921 43.4487 46.7254 -4417.53
417000 1.29857 40.7733 43.4637 46.7374 -5220.84
418000 1.29815 40.7531 43.4787 46.7594 -1581.23
419000 1.2975 40.7351 43.4937 46.7874 -2864.01
420000 1.29682 40.7208 43.5087 46.8124 -5082.29
421000 1.29603 40.7076 43.5237 46.8398 -5434.06
422000 1.29527 40.695 43.5387 46.8658 -3088.29
423000 1.29439 40.6849 43.5537 46.8932 -2804.61
424000 1.29371 40.6683 43.5687 46.9206 -2237.46
425000 1.2933 40.6496 43.5837 46.9409 -4535.24
426000 1.29309 40.6326 43.5987 46.9522 -5155.92
427000 1.29262 40.6194 43.6137 46.9683 -3820.19
428000 1.29191 40.6115 43.6287 46.9871 -3728.39
429000 1.29114 40.6049 43.6437 47.0064 -2522.41
430000 1.29071 40.5948 43.6587 47.0177 -3562.08
431000 1.29047 40.5846 43.6737 47.022 -3005.82
432000 1.29063 40.5729 43.6887 47.0139 -5713.89
433000 1.29156 40.5528 43.7037 46.9869 -3608.24
434000 1.29271 40.5323 43.7187 46.9528 -2886.95
435000 1.29349 40.5257 43.7337 46.9162 -3495.45
436000 1.29375 40.5328 43.7487 46.8823 -3292.35
437000 1.29337 40.5565 43.7637 46.8528 -4874.93
438000 1.29279 40.5822 43.7787 46.8279 -5255.07
439000 1.29192 40.6069 43.7937 46.815 -4664.03
440000 1.29118 40.6245 43.8087 46.8054 -3616.52
441000 1.29062 40.6334 43.8237 46.7993 -4825.25
442000 1.29042 40.6337 43.8387 46.7903 -4055.64
443000 1.28998 40.6356 43.8537 46.7882 -4639.07
444000 1.28953 40.6345 43.8687 46.7895 -4177.18
445000 1.28926 40.6283 43.8837 46.7908 -5908.82
446000 1.28952 40.6187 43.8987 46.7762 -4569.12
447000 1.2903 40.6052 43.9137 46.7477 -5089.97
448000 1.29106 40.5926 43.9287 46.7185 -5006.06
449000 1.29184 40.5859 43.9437 46.6821 -3155.91
450000 1.29277 40.5835 43.9587 46.6357 -3976.44
451000 1.29385 40.5789 43.9737 46.5857 -3237.07
452000 1.29468 40.5781 43.9887 46.541 -4310
453000 1.29427 40.5961 44.0037 46.5191 -5154.96
454000 1.29325 40.6199 44.0187 46.5127 -4161.54
455000 1.29212 40.6395 44.0337 46.5153 -5373.2
456000 1.29092 40.6577 44.0487 46.5219 -5272.13
457000 1.29022 40.6714 44.0637 46.5157 -1658.45
458000 1.28984 40.6831 44.0787 46.4999 -3212.15
459000 1.28963 40.6926 44.0937 46.4808 -2637.8
460000 1.28918 40.7027 44.1087 46.4696 -4086.37
461000 1.28861 40.7112 44.1237 46.4647 -4968.87
462000 1.28849 40.7076 44.1387 46.4576 -3981.24
463000 1.28865 40.6948 44.1537 46.4505 -5077.85
464000 1.28866 40.6807 44.1687 46.4506 -4096.66
465000 1.28792 40.6723 44.1837 46.4709 -4707.17
466000 1.28673 40.6677 44.1987 46.5034 -3828.11
467000 1.28547 40.6634 44.2137 46.5382 -6212.84
468000 1.28449 40.6524 44.2287 46.5706 -5048.97
469000 1.28378 40.6349 44.2437 46.6006 -4789.87
470000 1.28356 40.6076 44.2587 46.6242 -5575.47
471000 1.28414 40.5715 44.2737 46.6285 -2528.65
472000 1.28531 40.5286 44.2887 46.6198 -5479.45
473000 1.28685 40.4806 44.3037 46.6032 -3640.03
474000 1.28843 40.4358 44.3187 46.5819 -5688.9
475000 1.29019 40.3904 44.3337 46.555 -4173.13
476000 1.29167 40.357 44.3487 46.5244 -4633.61
477000 1.29259 40.3339 44.3637 46.5019 -3670.27
478000 1.29313 40.3178 44.3787 46.4856 -5280.97
479000 1.29321 40.3052 44.3937 46.4814 -4947.77
480000 1.29277 40.2977 44.4087 46.4903 -3454.6
481000 1.29216 40.2965 44.4237 46.498 -3036.56
