Curve Energy
164500.0 -23801.93272365794
164750.0 -23802.76671029415
165000.0 -23800.48700478957
165250.0 -23802.81867417561
165500.0 -23802.32520025766
165750.0 -23801.86947769882
166000.0 -23802.68042088735
166250.0 -23802.4356840351
166500.0 -23801.84987977849
166750.0 -23801.48205394366
167000.0 -23803.14504479344
167250.0 -23802.81292755851
167500.0 -23802.52659944693
167750.0 -23802.91552486411
168000.0 -23802.13449632237
168250.0 -23801.56973423929
168500.0 -23802.4555774739
168750.0 -23803.61403786266
169000.0 -23801.44618362542
169250.0 -23802.56257331074
169500.0 -23803.36178020913
169750.0 -23802.49723995339
170000.0 -23802.36458182029
170250.0 -23801.59220149686
170500.0 -23802.62273177215
170750.0 -23801.03618061361
171000.0 -23801.98602564778
171250.0 -23802.58504495527
171500.0 -23802.71945360858
171750.0 -23802.56938898318
172000.0 -23802.12384564316
172250.0 -23802.43406296171
172500.0 -23802.65892664075
172750.0 -23802.00089938932
173000.0 -23801.75366178315
173250.0 -23801.91880549947
173500.0 -23802.42508761288
173750.0 -23801.39556053921
174000.0 -23801.5244833636
174250.0 -23802.66063022836
174500.0 -23803.23040585195
174750.0 -23802.41286423908
175000.0 -23802.82333436216
175250.0 -23801.74730298755
175500.0 -23802.17131664456
175750.0 -23802.34024007955
176000.0 -23802.63188616823
176250.0 -23802.54951942728
176500.0 -23801.97403117178
176750.0 -23802.1935031245
177000.0 -23801.20702151992
177250.0 -23801.76557159697
177500.0 -23801.74910143765
177750.0 -23801.74462156268
178000.0 -23801.26633758561
178250.0 -23801.87585359248
178500.0 -23800.42849718317
178750.0 -23800.73666995303
179000.0 -23801.33503599496
179250.0 -23801.07846042913
179500.0 -23801.9617085951
179750.0 -23801.38275096222
180000.0 -23800.08287491769
180250.0 -23801.06473432762
180500.0 -23800.35490244295
180750.0 -23801.13341087244
181000.0 -23801.407079624
181250.0 -23800.94500108864
181500.0 -23802.30928810523
181750.0 -23801.16826523237
182000.0 -23801.11628188255
182250.0 -23801.44808003956
182500.0 -23801.94264228717
182750.0 -23800.36180182532
183000.0 -23800.63411708664
183250.0 -23801.54749416581
183500.0 -23801.50200680218
183750.0 -23800.52783064877
184000.0 -23800.22693041201
184250.0 -23800.56821226348
184500.0 -23801.14110530959
184750.0 -23801.00593163469
185000.0 -23799.96790595662
185250.0 -23801.39512272421
185500.0 -23802.11758751442
185750.0 -23801.22031310808
186000.0 -23800.65375326189
186250.0 -23801.33090783843
186500.0 -23800.47069197894
186750.0 -23801.29231092996
187000.0 -23801.49931228355
187250.0 -23800.79447975523
187500.0 -23801.1792113843
187750.0 -23801.61175902432
188000.0 -23801.11146139062
188250.0 -23800.76110627031
188500.0 -23801.78438876078
188750.0 -23800.99965547889
189000.0 -23802.14459083412
189250.0 -23800.1455039681
189500.0 -23799.40894645215
189750.0 -23799.91252985956
190000.0 -23800.23727847581
190250.0 -23799.99765901835
190500.0 -23799.36987047738
190750.0 -23800.97491513581
191000.0 -23801.02322158285
191250.0 -23800.52639751838
191500.0 -23800.72369785391
191750.0 -23801.16280694445
192000.0 -23800.24308385847
192250.0 -23799.82906572799
192500.0 -23800.5187623238
192750.0 -23801.06575721141
193000.0 -23800.12185810131
193250.0 -23800.02648527484
193500.0 -23801.34107600849
193750.0 -23800.04534284933
194000.0 -23800.4556403762
194250.0 -23800.61435902885
194500.0 -23800.68061838695
194750.0 -23799.77135353386
195000.0 -23799.71390242176
195250.0 -23799.95535180999
195500.0 -23799.89502759637
195750.0 -23800.27810427768
196000.0 -23800.47321004799
196250.0 -23799.86338562245
196500.0 -23800.59494388126
196750.0 -23800.406716869
197000.0 -23800.98697007149
197250.0 -23800.44912133766
